No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
2|CPU board failure|Program check-sum fault.|Error occurs when abnormality is found in the work program.|Please copy the file by the file restore.|Error reset.|A|A|A|A|on|on
4|CPU board failure|The automatic saving function at the timing of the power failure detection (or controller power OFF operation) failed.|When the primary power is turned OFF or when the primary power voltage dropped abnormally, the current status of the controller (e.g. step number etc.) will be automatically saved to the internal memory. This error will be displayed if the automatic saving process failed.|(1)Check the output voltage of the power supply unit (5V). (2)Replace the power supply unit. (3)Replace the sequence board.|Error reset.|A|A|A|A|on|on
12|Servo failure|The robot cannot reach the recorded point.|This error occurs when the robot does not reach the position even if ten seconds have passed since the command position was output to the robot.|(1)Please confirm whether the robot manipulator interferes in something. (2)Please confirm that the Pay-load is within the nominal rating. (3)Check if the concerned axis is hard to move by using brake release function. (4)Replace the drive unit. (5)Replace the motor. (6)Check the internal wiring of the robot or the control cable between the robot and the controller by referring to the instruction manual "MANIPULATOR".|Please do error reset or turn on the drive preparation.|E|E|E|E|on|on
20|Servo failure|Abnormal velocity command. Modify abnormal axis motion.|Abnormal velocity command data is calculated.|Modify abnormal axis motion to be minimized. Contact our service department in case axis motion is not so big.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
21|Servo failure|Abnormal servo tracking|This failure occurs when the robot does not follow to the command position.|(1)Check the primary power voltage. (2)Check whether the actual load exceeds the maximum payload value or not. (3)Check whether the ambient temperature is not below 0 degree. (4)Check if the concerned axis is hard to move by using brake release function. (5)Replace the drive unit. (6)Replace the motor. (7)Check the internal wiring of the robot or the control cables between the robot and the controller by referring to the instruction manual "MANIPULATOR".|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
22|Servo failure|Position Deviation error|This failure occurs when the deviation between the command and encoder data position exceeds the set permissible deviation.|(1)Check whether the robot manipulator interferes with something. (2)Check whether the actual load exceeds the maximum payload value or not. (3)Check if the concerned axis is hard to move by using brake release function. (4)Replace the drive unit. (5)Replace the motor. (6)Check the internal wiring of the robot or the control cables between the robot and the controller by referring to the instruction manual "MANIPULATOR".|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
24|Amplifier unit failure|Servo CPU stop|This failure occurs when the servo CPU on servo substrate UM221 stops.|(1)Power ON again. (2)Please check the voltage of the 24V power supply on servo substrate (UM351(L21700X00)). (3)Please replace the drive unit.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
25|Servo failure|Encoder Bit jump|This failure occurs when the amount of the encoder current position exceeds the borderline for the encoder bit jump detection.|(1)Please confirm whether connectors CNEC1/CNEC2/CN78E on the servo board UM351 (L21700x00) are correctly connected. And, check the damages on them. (2)Please confirm connector CNR4/CN2 between the controller and the robot. (3)Please confirm the power supply voltage of the encoder. For details, refer to the instruction manual "CONTROLLER MAINTENANCE". (4)Please replace the drive unit. (5)Please replace the power supply unit. (6)Please replace the motor or the encoder. (7)Please confirm the wiring in the robot manipulator referring to the instruction manual "MANIPULATOR".|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
26|Servo failure|Interference detected|This failure occurs when the robot manipulator collides with something.|(1)Please confirm whether the robot manipulator interferes with something. (2)Please confirm that the weight, center of gravity, moment of inertia of the tool match with the actual load. (3)Please lower the detection level or invalidate the problem part by using FN230. (4)Check if the concerned axis is hard to move by using brake release function. (5)Please confirm the cable between the controller and the robot.(U,V,W and brake control line) (6)Please replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
27|Servo failure|Encoder data change after stop|This failure occurs when the encoder data continues to change while the command position value is stopping.|(1)Please check whether the connectors CNEC1/CNEC2/CN78E on the servo board UM351(L21700X00) are correctly connected. And, check the damages on them. (2)Please check whether CNR4/CN2 is correctly connected. (3)Please check the power supply voltage of the encoder. (4)Please check that the Pay-load is within the nominal rating. (5)Please check if the manipulator interferes with something or not. (If this error occurs when the robot stops) (6)Please replace the drive unit. (7)Please replace the power supply unit. (8)Please replace the power supply unit. (9)Please replace the motor or the encoder. (10)Please check the wiring in the robot manipulator or the control cables (wire harness) by referring to "MANIPULATOR MANUAL".|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
